,timestamp,open,high,low,close,volume,turnover,RSI,EMA,month,prev_close,prev_volume,next_close,volatility,momentum,relative_change,cluster
80,2021-09-10,46358.44,46998.0,44150.0,44830.7,369.397501,16907345.44531995,0.330281796833652,0.5951773075773992,2021-09,0.5336370517635549,0.0032651564113732323,45131.32,0.24351012394416496,75322.26825845933,84008.721311225,0
79,2021-09-11,44830.7,45943.71,44727.84,45131.32,289.418999,13110344.44153312,0.34645494589669523,0.5904047491350908,2021-09,0.5069732892887506,0.004233706200234932,45986.0,0.10070835236330407,76440.32278088007,89020.10023057862,0
78,2021-09-12,45131.32,46377.51,44713.09,45986.0,254.371103,11592128.05251026,0.38263590252636737,0.5876506138358459,2021-09,0.5122200330247106,0.0032742077298383264,44910.13,0.13995383810438822,78252.9810514785,89776.82405043408,0
77,2021-09-13,45986.0,46782.0,43381.99,44910.13,476.493014,21310166.29822948,0.4017211890690623,0.5831901498283512,2021-09,0.5271368281023847,0.0028537397070361576,47100.0,0.29180775092875044,77006.69639750994,85195.34297165288,0
76,2021-09-14,44910.13,47233.76,44590.01,47100.0,340.498618,15738681.80302288,0.4697300944655952,0.5831615168207094,2021-09,0.5083595871230506,0.005518526224869051,48128.25,0.22563945074693748,80765.64636030965,92649.95257975186,0
75,2021-09-15,47100.0,48444.0,46686.86,48128.25,302.601632,14401236.09838217,0.45005712403930176,0.585017102981439,2021-09,0.5465795548732568,0.0038870076082224126,47729.93,0.14806629254182677,82267.10764116579,88052.51310873708,0
74,2021-09-16,48128.25,48470.0,47020.51,47729.93,262.464978,12555346.71381928,0.4243837426977817,0.5859671205731765,2021-09,0.5645256803689023,0.003432359181578443,47290.58,0.12114872774805903,81453.96278581626,84547.73119112983,0
73,2021-09-17,47729.93,48142.22,46750.01,47290.58,227.556339,10809013.21506057,0.38719125669368937,0.5860227375129652,2021-09,0.5575737710983693,0.0029508415592574117,48272.38,0.11613706478239358,80696.51730231072,84813.92934440207,0
72,2021-09-18,47290.58,48773.78,47058.1,48272.38,185.709749,8954097.94449346,0.4216526561158249,0.5878695555901075,2021-09,0.54990576211562,0.0025320441963844827,47252.31,0.1444387864916087,82113.10089359681,87782.00451750954,0
71,2021-09-19,48272.38,48328.8,46864.83,47252.31,180.834669,8624101.79933573,0.33313446022257365,0.5876739617829747,2021-09,0.5670411922266094,0.002030012549226176,43049.82,0.12241564254803901,80404.65530015784,83330.35343210891,0
70,2021-09-20,47252.31,47338.82,42523.37,43049.82,531.465973,23509851.54162845,0.22499029543455415,0.5798072782626345,2021-09,0.5492378328934286,0.001971526435006869,40717.22,0.4156504225090862,74247.49879255876,78380.01715100382,0
69,2021-09-21,43049.82,43600.3,39632.1,40717.22,768.442768,32206714.10602254,0.28423693583675513,0.5684216103880091,2021-09,0.4758914551310212,0.006178034327104765,43514.57,0.3415210327105508,71631.07600816953,85558.88883807516,0
68,2021-09-22,40717.22,43989.99,40572.28,43514.57,368.823524,15688067.7918568,0.4009051475129054,0.5632388838584717,2021-09,0.4351804098296424,0.009021034216274856,44811.07,0.2933563967823165,77256.75198953444,99991.02403673087,0
67,2021-09-23,43514.57,44931.18,43043.57,44811.07,294.205773,12951288.85474374,0.4291497479538894,0.5609220864922997,2021-09,0.4840027722466072,0.004226820224131719,42804.98,0.15948164985904728,79887.22526177201,92583.32506904741,0
66,2021-09-24,44811.07,45100.99,40735.01,42804.98,472.905144,20147802.28927743,0.41779228943097224,0.5551551922997164,2021-09,0.5066306854049873,0.0033316344409704537,42665.0,0.3763244421812631,77103.52967697456,84488.5132354307,0
65,2021-09-25,42804.98,42950.69,41642.65,42665.0,191.811663,8146644.43298754,0.40598443139267193,0.5496813906717499,2021-09,0.4716182439796925,0.005475482710788455,43127.93,0.10877268503693162,77616.69040036142,90464.11780370634,0
64,2021-09-26,42665.0,43876.81,40767.63,43127.93,324.542433,13757681.29490271,0.3944209497953213,0.5455759729629874,2021-09,0.4691751623877834,0.002103216935443508,42149.18,0.2663618371664508,79049.27372407005,91921.8754150328,0
63,2021-09-27,43127.93,44285.56,42112.08,42149.18,244.021722,10595937.34575875,0.3966343803734519,0.5400706303192855,2021-09,0.47725471490487476,0.0036955819786092794,41028.29,0.18449359280588368,78042.82914709089,88314.90067874148,0
62,2021-09-28,42149.18,42753.37,40884.38,41028.29,254.164305,10639244.62827894,0.29990709778153457,0.5330386011024322,2021-09,0.46017251667597797,0.0027295786513683268,41512.51,0.1578525094187423,76969.5794573698,89157.49711400586,0
61,2021-09-29,41028.29,42577.27,40769.0,41512.51,301.226587,12602054.3594842,0.27928464485410054,0.5275623148818587,2021-09,0.440609538210805,0.002851258760785363,43801.54,0.1525398666939648,78686.40588359923,94215.09475040184,0
60,2021-09-30,41512.51,44067.0,41402.52,43801.54,335.265109,14500035.16712148,0.3670927515046968,0.5267960476370372,2021-09,0.4490606667179789,0.003415862828918243,48114.61,0.22745320377204684,83146.05510125484,97539.36201863221,0
