timestamp,open,high,low,close,volume,turnover,RSI,EMA
2021-08-22,48772.59,49506.7,48074.56,49223.35,132.608239,6471911.77505594,,
2021-08-21,49301.43,49731.15,48171.57,48772.59,132.869856,6500925.85457926,,
2021-08-20,46753.83,49338.0,46629.54,49301.43,260.425931,12462812.49267966,,
2021-08-19,44635.35,47001.35,43950.0,46753.83,230.822202,10455959.04117811,,
2021-08-18,44676.76,45930.0,44218.24,44635.35,227.924747,10286706.07391948,,
2021-08-17,45913.29,47138.09,44412.0,44676.76,211.227177,9670474.89028014,,
2021-08-16,46979.44,48016.54,45657.69,45913.29,207.229123,9726139.79178982,,
2021-08-15,47037.53,47336.25,45507.0,46979.44,139.139401,6442524.47533528,,
2021-08-14,47807.6,48107.0,46029.73,47037.53,192.779991,9064660.63032565,,
2021-08-13,44412.0,47865.28,44243.99,47807.6,158.11131,7331247.26143713,,
2021-08-12,45543.0,46207.82,43790.8,44412.0,170.489342,7632164.89591317,,
2021-08-11,45585.67,46595.92,45349.31,45543.0,136.428802,6275952.02923862,,
2021-08-10,46285.33,46750.0,44650.0,45585.67,176.307778,8023459.75021313,,
2021-08-09,43807.74,46466.92,42820.94,46285.33,240.183492,10812087.82376971,,
2021-08-08,44578.65,45281.85,43296.16,43807.74,191.475897,8483736.98381498,33.70789796779288,
2021-08-07,42831.88,44705.58,42500.0,44578.65,237.590431,10342098.62137394,38.348787140630854,
2021-08-06,40864.26,43367.66,39900.01,42831.88,158.525493,6571388.5241617,32.75359383839295,
2021-08-05,39738.46,41353.0,37348.85,40864.26,215.362454,8463112.18035584,27.828221174956997,
2021-08-04,38210.87,39955.86,37551.94,39738.46,126.630748,4928081.86087145,25.468363179505534,
2021-08-03,39144.91,39771.94,37661.2,38210.87,120.750935,4637803.2755102,22.660360694254795,45147.9515
2021-08-02,39851.08,40452.47,38691.0,39144.91,143.550949,5674236.08870132,27.895207049441776,44576.23326190477
2021-08-01,41447.67,42566.0,39462.33,39851.08,140.451913,5778125.20601077,31.66134888115419,44126.218665532884
2021-07-31,42195.18,42359.76,41040.89,41447.67,97.528106,4063997.09578545,39.371740905614665,43871.11879262499
